Entry ID,Waste Amount (ton),Latitude,Longitude,Date of Record,Waste Type,Source,Disposal Method,Comments
130,220.83,-25.7628405,-74.859310,2023-07-19,Electronic,Commercial,Incinerated,
131,266.96,-70.640247,83.953566,2023-01-21,Glass,Residential,Landfill,
132,214.59,44.944966,152.849668,2023-09-12,Plastic,Commercial,Landfill,
133,389.49,-61.517542,-176.300571,2023-01-19,Plastic,Industrial,Incinerated,
134,272.32,89.9921005,-162.146368,2023-08-30,Organic,Commercial,Incinerated,
135,10.89,-64.0911845,-132.926041,2023-07-05,Hazardous,Industrial,Incinerated,
136,376.87,-84.0127645,147.225093,2023-06-18,Electronic,Agricultural,Landfill,
137,282.66,78.194409,-27.570845,2023-07-18,Organic,Industrial,Recycled,
138,61.1,72.138259,-47.602615,2023-01-09,Electronic,Residential,Composted,
139,6.14,-19.6648445,75.150724,2023-03-14,Electronic,Residential,Composted,
140,471.65,56.6183855,158.703107,2023-07-09,Plastic,Agricultural,Composted,Difference himself million building impact measure.
141,199.52,55.888000,134.625982,2023-06-21,Organic,Agricultural,Recycled,
142,147.23,-0.8000195,153.313767,2023-06-08,Metal,Agricultural,Composted,
143,218.72,2.144827,85.526178,2023-04-03,Plastic,Commercial,Composted,
144,277.16,68.7810915,-155.047275,2023-02-07,Metal,Agricultural,Recycled,
145,52.32,31.1565215,-116.919592,2023-06-23,Electronic,Commercial,Landfill,
146,494.91,-62.246663,-110.657291,2023-08-09,Organic,Residential,Recycled,
147,472.33,-76.977843,140.196160,2023-01-29,Plastic,Industrial,Landfill,
148,127.47,51.101470,57.608451,2023-05-07,Plastic,Industrial,Incinerated,
149,64.06,-10.5797495,53.667902,2023-07-26,Metal,Residential,Recycled,
150,349.39,27.3459955,5.572665,2023-07-12,Glass,Commercial,Recycled,
151,422.36,8.9064445,124.679840,2023-09-05,Plastic,Agricultural,Landfill,
152,193.63,-81.1578145,-171.954090,2023-05-02,Electronic,Commercial,Incinerated,
153,259.87,2.386307,-91.800369,2023-06-29,Hazardous,Agricultural,Composted,
154,347.06,28.0130085,-150.713237,2023-02-21,Glass,Agricultural,Incinerated,
155,27.25,32.5314425,-17.602794,2023-04-30,Electronic,Commercial,Recycled,
156,430.3,20.2236605,130.357783,2023-04-30,Plastic,Residential,Landfill,
157,361.1,-70.3073085,-17.616153,2023-04-29,Plastic,Industrial,Landfill,
158,223.52,-44.065242,-99.423495,2023-01-03,Glass,Commercial,Landfill,
159,184.74,-52.1319245,-143.509600,2023-06-27,Plastic,Industrial,Recycled,
160,17.5,45.800894,-39.934106,2023-05-03,Glass,Industrial,Landfill,
161,15.61,-46.0898375,-143.738441,2023-04-25,Glass,Agricultural,Landfill,Specific successful focus indeed child.
162,362.88,86.5366025,141.361155,2023-06-07,Glass,Residential,Incinerated,
163,27.74,-22.809146,64.182383,2023-06-29,Glass,Industrial,Landfill,
164,367.08,13.376633,171.858438,2023-05-25,Glass,Residential,Landfill,
165,172.76,65.171544,27.602019,2023-05-13,Organic,Agricultural,Recycled,
166,105.41,-78.545222,124.510659,2023-08-18,Glass,Industrial,Recycled,
167,44.57,69.684213,79.982252,2023-08-16,Glass,Agricultural,Composted,
168,237.12,-81.369837,1.299608,2023-06-12,Plastic,Agricultural,Incinerated,
169,422.32,73.033907,161.738226,2023-09-10,Organic,Agricultural,Composted,
170,432.15,56.128075,137.694210,2023-02-18,Hazardous,Industrial,Incinerated,
171,369.28,-32.852662,-40.005626,2023-06-30,Glass,Commercial,Recycled,Yes middle fish state mean we.
172,385.28,61.1806295,-164.670087,2023-09-08,Plastic,Residential,Landfill,
173,230.59,40.9239065,20.358716,2023-04-04,Hazardous,Agricultural,Recycled,
174,196.95,35.836862,106.710517,2023-06-25,Organic,Commercial,Landfill,
175,306.75,49.048295,142.738383,2023-07-27,Organic,Agricultural,Incinerated,
176,319.88,15.426037,48.494698,2023-07-30,Organic,Agricultural,Composted,
177,161.39,-64.105361,-14.031742,2023-02-02,Glass,Industrial,Recycled,
178,111.43,-40.341929,-73.264274,2023-06-21,Electronic,Agricultural,Incinerated,
179,290.57,-51.4003005,19.394640,2023-01-20,Electronic,Industrial,Incinerated,Director arm water out hard purpose.
180,92.65,-67.867449,63.054503,2023-07-31,Glass,Industrial,Landfill,
181,95.98,-86.186352,-146.255160,2023-01-16,Hazardous,Industrial,Recycled,Challenge majority movie six claim under foot.
182,66.13,-35.041628,150.826966,2023-08-21,Glass,Residential,Recycled,
183,124.71,-4.120314,-32.295622,2023-02-25,Organic,Commercial,Incinerated,
184,52.63,-76.862616,70.132106,2023-08-18,Metal,Residential,Composted,
185,471.26,-36.319222,11.913694,2023-04-19,Metal,Industrial,Landfill,
186,396.61,-57.9317525,44.670232,2023-07-13,Organic,Residential,Incinerated,
187,82.39,9.075088,-118.953103,2023-06-15,Hazardous,Agricultural,Incinerated,
188,199.38,-3.747112,40.327909,2023-08-25,Hazardous,Agricultural,Landfill,
189,144.16,38.759860,-38.992533,2023-02-25,Metal,Commercial,Composted,
190,141.95,-32.185803,-87.536571,2023-03-31,Organic,Agricultural,Landfill,
191,410.34,-80.594511,160.655361,2023-06-12,Electronic,Industrial,Recycled,
192,485.02,29.2771625,-38.700835,2023-03-29,Hazardous,Agricultural,Landfill,
193,52.92,59.255893,88.765034,2023-09-29,Plastic,Agricultural,Recycled,Floor mission last upon father.
194,259.25,-85.2469565,-33.011731,2023-05-16,Hazardous,Residential,Incinerated,
195,461.94,-4.9454635,120.878554,2023-02-09,Plastic,Industrial,Recycled,
196,205.33,40.216736,80.801225,2023-08-19,Electronic,Agricultural,Landfill,
197,107.04,27.6567155,-152.998024,2023-09-19,Organic,Commercial,Recycled,
198,310.46,75.350034,105.043970,2023-02-10,Glass,Industrial,Incinerated,
199,97.57,60.943985,103.461856,2023-06-19,Plastic,Residential,Composted,
200,279.93,41.640464,6.309071,2023-02-05,Organic,Agricultural,Composted,
201,344.81,-74.4471475,-102.985884,2023-05-13,Electronic,Residential,Incinerated,
202,78.09,-40.998477,-95.728558,2023-02-28,Organic,Industrial,Landfill,
203,275.96,-23.258847,-179.925492,2023-02-08,Glass,Industrial,Incinerated,
204,487.25,-12.6879775,-127.403227,2023-05-15,Electronic,Commercial,Recycled,
205,23.68,-26.706729,51.629219,2023-06-11,Metal,Residential,Incinerated,
206,173.33,51.165637,-62.170949,2023-02-28,Hazardous,Residential,Incinerated,
207,280.65,-58.8686225,-62.594995,2023-04-06,Plastic,Agricultural,Recycled,
208,140.1,-36.035826,50.263665,2023-06-21,Electronic,Industrial,Recycled,Tell help trouble strong.
209,183.71,-68.3781095,175.498259,2023-09-11,Hazardous,Commercial,Landfill,
210,406.13,-26.966387,1.401746,2023-01-02,Metal,Agricultural,Composted,
211,81.1,-56.5595465,107.974056,2023-02-07,Hazardous,Commercial,Composted,
212,81.03,-85.898496,-17.484128,2023-07-19,Plastic,Industrial,Incinerated,
213,77.81,26.5571565,53.898793,2023-09-29,Glass,Industrial,Incinerated,
214,327.75,87.204954,172.659636,2023-04-17,Organic,Industrial,Landfill,
215,190.01,-17.433697,147.431543,2023-01-05,Organic,Agricultural,Landfill,
216,342.86,-72.095766,-141.773472,2023-06-07,Hazardous,Agricultural,Recycled,
217,55.82,-87.014093,-132.542606,2023-09-07,Organic,Industrial,Incinerated,
218,368.43,76.774644,-107.363132,2023-06-13,Hazardous,Commercial,Composted,
219,73.67,61.001225,95.267729,2023-05-21,Electronic,Commercial,Composted,
220,164.34,35.7182905,-176.602055,2023-06-24,Glass,Industrial,Incinerated,
221,173.3,58.1765435,-87.026572,2023-07-25,Metal,Agricultural,Landfill,
222,214.97,-82.8850705,-36.021925,2023-01-09,Hazardous,Commercial,Recycled,
223,315.58,-57.921710,98.182697,2023-06-14,Metal,Agricultural,Landfill,
224,191.29,-7.8955315,-111.283461,2023-02-13,Hazardous,Commercial,Recycled,
225,45.16,77.3969805,126.513488,2023-04-12,Organic,Residential,Composted,
226,499.5,-39.404832,70.536864,2023-07-16,Plastic,Agricultural,Composted,Center right forget join.
227,402.39,-68.5407625,74.096001,2023-03-13,Glass,Industrial,Incinerated,
228,294.85,15.9636155,144.974472,2023-06-07,Metal,Residential,Landfill,
229,488.21,-89.0548025,-173.534538,2023-01-13,Electronic,Agricultural,Composted,
230,427.04,-5.053027,-78.873605,2023-07-01,Electronic,Industrial,Composted,
231,68.76,38.187825,-111.865934,2023-08-31,Organic,Industrial,Composted,
232,278.85,-77.5359415,113.880394,2023-03-30,Hazardous,Commercial,Incinerated,
233,469.6,-29.635560,112.155976,2023-03-03,Plastic,Industrial,Incinerated,
234,68.23,69.4279395,111.690452,2023-03-02,Organic,Commercial,Recycled,
235,27.9,-45.5147465,-45.260316,2023-03-11,Organic,Agricultural,Recycled,
236,17.54,29.163416,120.189446,2023-03-12,Glass,Industrial,Landfill,
237,10.7,-16.043632,32.485082,2023-05-11,Electronic,Residential,Incinerated,
238,258.16,60.960769,88.163639,2023-03-28,Hazardous,Industrial,Composted,
239,448.9,57.218034,25.072705,2023-03-15,Plastic,Residential,Recycled,
240,206.27,-46.101679,159.465113,2023-05-18,Metal,Commercial,Landfill,
241,149.93,59.405213,-96.330913,2023-03-23,Glass,Industrial,Incinerated,
242,448.83,86.8277925,-52.745591,2023-04-26,Metal,Residential,Landfill,
243,339.23,-42.5070345,-108.224938,2023-02-14,Hazardous,Agricultural,Composted,Force continue movement tonight deep quickly.
244,497.89,23.857354,-129.527426,2023-02-04,Metal,Industrial,Incinerated,
245,125.26,-70.990987,-163.884425,2023-03-19,Organic,Industrial,Composted,
246,324.66,54.214905,-170.874782,2023-09-06,Metal,Commercial,Incinerated,
247,311.02,50.3676565,-122.321534,2023-04-13,Organic,Industrial,Composted,
248,246.45,-19.7614475,-115.944761,2023-01-04,Electronic,Commercial,Incinerated,
249,6.96,-46.182131,-70.084622,2023-06-04,Metal,Residential,Composted,
250,280.67,-68.9794995,59.473623,2023-08-02,Plastic,Industrial,Composted,
251,66.36,49.4056355,85.977814,2023-05-13,Organic,Agricultural,Incinerated,
252,185.61,-75.424013,-63.980474,2023-03-04,Electronic,Industrial,Landfill,Treat computer coach give recognize everyone.
253,480.69,-5.5886455,19.640970,2023-02-02,Hazardous,Agricultural,Composted,
254,206.34,48.558001,166.774312,2023-02-06,Hazardous,Industrial,Recycled,
255,443.83,88.2128465,-158.222577,2023-01-21,Hazardous,Commercial,Recycled,
256,147.69,-26.0737985,-141.127985,2023-03-14,Glass,Commercial,Landfill,
257,463.76,57.2099355,-94.795962,2023-01-11,Metal,Agricultural,Recycled,
258,3.39,-15.9302285,-165.739961,2023-04-10,Glass,Commercial,Composted,
259,377.02,-55.323361,93.334282,2023-01-15,Electronic,Residential,Recycled,
260,84.41,81.9029255,37.689099,2023-08-20,Plastic,Commercial,Composted,Part until listen.
261,36.72,-3.9664655,-76.023458,2023-05-12,Metal,Agricultural,Landfill,
262,424.33,-16.5748555,114.752141,2023-09-04,Organic,Residential,Composted,
263,394.72,20.076183,66.808843,2023-02-05,Organic,Industrial,Landfill,
264,23.25,-57.5339175,20.632114,2023-05-24,Glass,Industrial,Incinerated,Foot sport sometimes detail trip wife.
265,85.38,41.9691185,167.362891,2023-08-19,Glass,Commercial,Landfill,
266,443.12,58.4263185,-64.477708,2023-06-30,Organic,Residential,Landfill,
267,416.17,-38.2283475,-123.175170,2023-03-13,Plastic,Industrial,Composted,
268,300.48,-87.8449795,127.679736,2023-08-18,Plastic,Agricultural,Landfill,
269,438.15,81.7561425,119.317279,2023-03-11,Electronic,Residential,Incinerated,
270,69.42,69.2266475,162.901306,2023-05-01,Glass,Industrial,Incinerated,
271,83.45,89.572407,79.944443,2023-03-14,Glass,Residential,Incinerated,
272,492.7,0.1329145,-70.923588,2023-03-12,Hazardous,Commercial,Incinerated,
273,259.77,-53.5909565,21.782066,2023-07-18,Metal,Commercial,Recycled,
274,50.73,-76.370047,-52.549612,2023-09-14,Metal,Commercial,Recycled,Sure seat national fire who such.
275,10.3,-2.7111195,-69.204036,2023-08-02,Hazardous,Residential,Recycled,
276,321.74,-35.6888365,79.402764,2023-03-21,Hazardous,Industrial,Incinerated,
277,41.44,31.244769,-29.662590,2023-03-15,Hazardous,Agricultural,Incinerated,
278,224.37,-4.252461,91.449365,2023-07-25,Electronic,Agricultural,Landfill,
279,495.62,43.4398175,48.747626,2023-05-03,Organic,Agricultural,Composted,
280,152.95,-88.711123,-30.770981,2023-06-19,Metal,Commercial,Recycled,
281,102.39,-47.7216085,-119.358773,2023-03-15,Electronic,Commercial,Incinerated,
282,84.47,27.444446,112.613189,2023-08-28,Hazardous,Agricultural,Recycled,
283,427.1,2.3949175,173.962932,2023-01-27,Hazardous,Residential,Recycled,
284,74.37,15.282817,-28.693411,2023-01-06,Glass,Industrial,Landfill,
285,153.59,79.041951,42.620002,2023-07-11,Hazardous,Commercial,Incinerated,
286,80.04,-8.5366555,168.530603,2023-01-31,Plastic,Residential,Incinerated,
287,463.08,-62.0871955,-71.010019,2023-07-12,Metal,Agricultural,Composted,
288,364.22,-14.1289085,47.544671,2023-05-23,Electronic,Residential,Recycled,
289,384.94,71.2443825,47.857411,2023-03-18,Hazardous,Residential,Recycled,
290,245.8,85.762600,-101.776507,2023-08-13,Metal,Commercial,Composted,
291,4.69,52.2436695,94.477821,2023-07-09,Plastic,Commercial,Composted,
292,117.19,-79.9462945,-90.248842,2023-02-27,Organic,Commercial,Incinerated,
293,130.19,27.1078025,-141.477800,2023-07-27,Organic,Commercial,Recycled,
294,242.05,75.333984,-164.243001,2023-09-27,Plastic,Agricultural,Incinerated,Moment four whom many seek protect mouth.
295,250.81,-29.4408545,132.927015,2023-07-13,Metal,Commercial,Composted,
296,429.71,55.386493,-38.363866,2023-08-13,Plastic,Industrial,Landfill,
297,119.49,-49.1484185,178.224849,2023-09-09,Electronic,Agricultural,Composted,
298,201.45,58.241386,-123.710580,2023-01-22,Metal,Residential,Recycled,
299,54.06,-32.925285,69.326326,2023-03-10,Metal,Agricultural,Composted,
300,364.3,-22.538253,-74.799371,2023-09-01,Electronic,Residential,Recycled,
301,480.37,70.7655425,-7.770574,2023-06-28,Electronic,Industrial,Landfill,
302,480.01,-3.3656765,104.592435,2023-06-19,Glass,Agricultural,Incinerated,
303,192.73,18.4980075,144.276225,2023-01-27,Glass,Residential,Composted,
304,24.7,10.5616005,-14.623663,2023-02-13,Organic,Commercial,Incinerated,
305,485.42,3.373164,-49.864827,2023-07-24,Glass,Agricultural,Composted,
306,126.88,6.0611655,-161.615388,2023-04-16,Glass,Commercial,Recycled,
307,192.61,-67.976678,-79.243021,2023-04-28,Metal,Industrial,Incinerated,
308,336.26,-79.4423245,-127.998929,2023-02-20,Glass,Residential,Landfill,
309,30.04,-59.510157,103.551929,2023-04-29,Metal,Commercial,Recycled,
310,219.11,51.852075,107.319247,2023-09-19,Glass,Agricultural,Recycled,Third talk enough right energy.
311,291.3,71.8274445,-28.290485,2023-02-01,Electronic,Agricultural,Incinerated,Power determine way realize arm western civil.
312,248.04,-10.972949,163.146869,2023-04-09,Electronic,Industrial,Recycled,
313,97.33,54.122971,130.120482,2023-06-12,Hazardous,Industrial,Incinerated,
314,351.45,49.0538215,-50.836804,2023-06-10,Organic,Agricultural,Composted,
315,72.73,67.2905275,155.381660,2023-02-16,Hazardous,Agricultural,Incinerated,
316,253.09,-75.349053,161.830295,2023-01-16,Electronic,Industrial,Recycled,
317,279.96,69.581562,-124.123482,2023-09-11,Electronic,Industrial,Incinerated,
318,319.95,44.968804,59.917189,2023-05-17,Glass,Residential,Incinerated,Run candidate again suddenly while.
319,358.29,0.8045025,-114.894696,2023-04-11,Electronic,Commercial,Recycled,
320,24.52,48.568297,34.381847,2023-06-26,Organic,Industrial,Landfill,Total feel student study bar service because have.
321,428.28,52.373398,34.493686,2023-08-12,Hazardous,Industrial,Recycled,
322,222.76,9.5250055,-53.532640,2023-02-06,Metal,Industrial,Landfill,
323,449.74,-66.6962195,-55.622578,2023-04-26,Plastic,Commercial,Recycled,
324,353.63,-77.7704285,84.412842,2023-06-26,Hazardous,Industrial,Incinerated,
325,205.1,-41.0273585,-136.018507,2023-09-14,Metal,Agricultural,Landfill,
326,492.25,34.735242,-118.337268,2023-03-05,Organic,Commercial,Recycled,
327,447.74,-19.508451,-155.227692,2023-07-07,Glass,Industrial,Recycled,
328,327.75,79.5200365,160.920704,2023-02-07,Organic,Residential,Landfill,
329,71.04,63.5160805,-146.046530,2023-07-05,Glass,Agricultural,Incinerated,
330,455.21,61.9737855,-172.534607,2023-03-25,Glass,Commercial,Recycled,
331,429.33,-41.437619,121.174735,2023-05-08,Plastic,Industrial,Landfill,
332,136.04,77.978056,-105.792660,2023-03-16,Glass,Residential,Recycled,
333,308.06,-20.263389,-18.769978,2023-08-14,Hazardous,Commercial,Composted,
334,389.93,61.607297,110.892405,2023-03-11,Electronic,Residential,Recycled,
335,70.11,82.3046745,-125.243456,2023-04-11,Glass,Residential,Recycled,
336,483.91,15.766386,-25.576838,2023-06-25,Organic,Residential,Recycled,
