product_id,product_name,supplier,latitude,longitude,destination_latitude,destination_longitude,transportation_method,emission_(co2e),date
19,Honeydew Empower Magnetic Bandwidth,"Morris, Barton and Turner",59.9396365,153.399988,38.1946585,-63.410679,Air,604.55,2021-01-14
20,Darkorange Cultivate Integrated Architectures,"Rivera, Thomas and Cook",-70.0563325,124.668646,31.3503755,32.716133,Truck,857.18,2020-06-28
21,Mintcream Benchmark Strategic Initiatives,Watson LLC,29.920458,-122.282836,-11.9969585,165.203181,Rail,182.67,2022-06-28
22,Darkcyan Re-Contextualize E-Business Networks,Acevedo-Malone,-23.569091,-178.366244,-86.587436,73.330831,Air,30.66,2020-12-01
23,Greenyellow Architect Back-End Applications,Curtis-Carter,70.3166095,-50.208375,-47.3876845,-58.028553,Ship,570.51,2021-11-02
24,Lightgreen Reinvent Cross-Media Roi,Torres-Mejia,-56.6428175,-46.660951,-76.093307,14.861086,Ship,693.11,2020-11-16
25,Peachpuff Generate E-Business Action-Items,"Guerrero, Keith and Clark",-4.482807,-65.648886,-51.9896975,-121.998698,Air,202.63,2022-11-16
26,Mediumslateblue Brand Innovative Schemas,Howard PLC,-51.9300365,67.947339,-88.414384,13.816084,Ship,183.52,2023-02-06
27,Dimgray Innovate End-To-End Initiatives,Gray-Fisher,31.7459085,-87.747415,22.596176,44.254521,Rail,409.68,2020-12-30
28,Lightgoldenrodyellow Innovate Viral E-Markets,Hunter Group,-67.7987485,117.18414,-26.8748225,84.182005,Ship,310.58,2020-03-10
29,Slategray Synthesize Synergistic Technologies,Schultz Inc,86.085752,149.106096,42.8549245,133.518968,Truck,15.61,2021-03-25
30,Lemonchiffon Matrix E-Business Systems,Nichols LLC,-44.5800855,123.52061,-57.7288045,-26.549751,Rail,872.86,2021-11-25
31,Lightyellow Seize End-To-End Methodologies,"Young, Jackson and Frank",-61.2806995,-23.096273,88.301402,-123.622977,Rail,699.05,2022-08-23
32,Darkviolet Maximize 24/365 Architectures,Rhodes-Perez,43.8235625,-32.725153,-26.77587,112.084977,Truck,892.64,2021-03-08
33,Linen Grow Front-End Synergies,"Marshall, Hughes and Snyder",84.3493425,163.339222,-86.624088,-171.886973,Rail,916.3,2022-06-18
34,Gray Synergize Plug-And-Play Roi,James PLC,-49.6012595,-71.777528,9.800937,-3.470095,Ship,985.59,2021-12-08
35,Skyblue Syndicate Impactful Metrics,Sparks-Sharp,-35.4411065,-22.55728,-69.199451,59.990476,Rail,653.16,2020-08-29
36,Cyan Cultivate Plug-And-Play Convergence,Oliver-Baker,-88.096415,57.382755,52.653776,83.21407,Rail,89.13,2020-03-02
37,Mediumorchid Incubate Robust Web-Readiness,Sparks and Sons,6.399316,-129.919528,17.1678735,-40.860239,Air,116.82,2022-10-27
38,Lightcyan Enhance 24/7 Markets,Smith-Hernandez,84.7774635,176.780123,-81.330599,-133.439528,Ship,658.89,2022-03-24
39,Yellowgreen Deploy B2C Initiatives,Grant PLC,42.9843255,60.972948,-9.794779,22.487001,Rail,922.58,2020-10-06
40,Lightsalmon Whiteboard Out-Of-The-Box Functionalities,Foley Group,-42.834119,115.270697,-27.9401065,-104.589055,Rail,880.56,2022-04-24
41,Mediumslateblue Engage Bleeding-Edge Models,Ramirez-Dorsey,-89.93457,97.717003,21.422557,-121.091281,Air,125.75,2023-05-18
42,Powderblue Streamline Mission-Critical Markets,Jacobs-Bryant,83.904207,-82.962016,66.430533,152.083675,Air,226.25,2022-07-11
43,Lightgreen Empower Bleeding-Edge Schemas,"Gray, Luna and Allen",-35.6341745,45.377483,-49.8974455,119.983571,Air,371.28,2021-04-14
44,Lightpink Grow Transparent Users,"Tyler, Obrien and Barker",-21.5386635,-163.728552,-47.4948085,-50.681868,Ship,653.06,2020-01-15
45,Lightslategray Enhance Leading-Edge Action-Items,Lee Ltd,-64.833653,144.706092,-6.2228375,-121.136762,Air,98.8,2023-09-24
46,Mediumslateblue Monetize Transparent Platforms,Jackson-Hahn,-0.5943395,3.824879,0.502963,-95.311022,Truck,605.01,2020-09-21
47,Darkviolet Re-Contextualize Transparent Schemas,"Anderson, Bryant and Hampton",57.4946975,-26.364425,-17.3472115,72.183706,Air,127.54,2023-06-01
48,Powderblue Aggregate 24/365 Web-Readiness,Daniel-Shelton,-24.0065175,113.733625,71.5803795,-142.766858,Rail,663.55,2022-09-12
49,Darkorchid Engineer Revolutionary E-Services,"Cherry, Holder and Smith",-30.6109985,-112.302065,22.318361,122.846335,Rail,815.07,2021-07-30
50,Maroon Enable Impactful Web Services,"Allen, Jefferson and Jones",-47.7739275,113.505421,-69.920657,-27.352224,Air,347.2,2020-07-29
51,Darksalmon Re-Contextualize Scalable Synergies,Martin Group,-87.735101,44.990659,-41.5262765,167.99433,Truck,682.5,2022-12-26
52,Turquoise Leverage Bricks-And-Clicks Systems,"Cuevas, Wilson and Roberts",87.328844,-146.447997,-65.171089,144.010272,Truck,822.64,2022-09-03
53,Papayawhip Engineer Value-Added Content,Peterson-Bailey,73.950413,-55.446358,82.363817,16.770719,Ship,496.33,2020-05-05
54,Powderblue Cultivate Bricks-And-Clicks Technologies,Ramirez-Hill,68.718711,28.981021,19.7019685,46.235513,Air,995.6,2020-05-02
55,Navajowhite Enable Distributed Convergence,"Ryan, Smith and Foster",21.7621595,44.019043,49.3310785,-148.910532,Air,639.13,2021-06-07
56,Darkslategray Repurpose Dynamic Users,"Wang, Allen and Bryant",33.75827,2.540472,78.4754955,176.855605,Rail,843.44,2022-10-16
57,Rosybrown Productize Innovative Eyeballs,Palmer-Gray,-12.8603335,-83.961899,-73.8697055,-34.783752,Truck,64.11,2022-04-24
58,Indigo Deliver 24/365 E-Commerce,"Jones, Mercado and Davis",55.8636405,34.479794,-80.855955,53.80634,Rail,140.2,2021-12-04
59,Mediumturquoise Iterate Transparent Partnerships,Eaton-Mendez,-8.7146315,177.088844,42.3002985,-167.278616,Truck,428.12,2023-02-18
60,Lightseagreen Synthesize 24/7 Deliverables,Martinez-Peterson,83.0057595,9.183391,-75.0560385,30.061107,Ship,52.13,2020-01-09
61,Indigo Re-Intermediate Transparent Infrastructures,Sandoval Inc,-88.733496,41.685916,32.569604,-14.292412,Truck,323.53,2022-12-27
62,Honeydew Whiteboard Web-Enabled E-Markets,Webb Group,-72.629032,-176.996229,82.4325965,-94.678016,Truck,508.36,2023-03-29
63,Mediumorchid Incubate 24/7 Experiences,Sherman and Sons,12.222313,-88.776562,84.044252,-28.446382,Truck,240.91,2021-10-27
64,Darksalmon Deploy Back-End Platforms,Edwards-Mccarthy,-43.236097,-112.199099,80.145109,-105.078816,Truck,989.53,2020-04-14
65,Crimson Integrate Front-End Deliverables,Robbins Ltd,34.554918,-177.967134,-30.810573,39.20531,Air,184.24,2021-10-16
66,Lightgreen Iterate Rich Portals,Garcia Inc,64.8257295,34.242697,68.939588,-120.426278,Ship,99.77,2020-01-29
67,Rosybrown Extend Vertical Deliverables,Brown-Moran,-39.9151025,-71.23969,64.899453,143.235622,Rail,962.38,2022-10-03
68,Orangered Unleash Bleeding-Edge Interfaces,Harris LLC,54.855616,95.434878,-8.5113815,-147.032745,Rail,355.02,2020-12-26
69,Chartreuse Productize Leading-Edge E-Markets,King Ltd,10.676559,-139.583879,36.566765,79.774485,Rail,688.15,2023-04-10
70,Lightyellow Synthesize Out-Of-The-Box Interfaces,"Collins, Davis and Gibson",25.391123,13.940974,28.140905,-80.19916,Air,178.65,2021-04-23
71,Darkolivegreen Morph Innovative Models,"Duffy, Robertson and Lopez",32.473586,-149.619271,78.2123075,172.20498,Truck,514.66,2022-10-06
72,Goldenrod Morph Web-Enabled Models,Day-Walker,-7.4333455,144.285707,-31.1697295,28.068321,Truck,24.77,2022-08-30
73,Snow Leverage Sticky Users,"Romero, Page and Mason",89.119032,-40.939749,76.5366895,-59.776343,Rail,670.75,2020-01-14
74,Sandybrown Cultivate Next-Generation Technologies,Roman-Ramos,-22.0121925,69.95827,-6.93366,162.960624,Air,181.2,2021-10-01
75,Royalblue Orchestrate Turn-Key E-Tailers,Cooper Group,-66.6772415,-74.128321,-13.968178,-25.112963,Truck,509.41,2021-02-18
76,White Strategize Back-End Portals,Johnston LLC,-5.478602,35.793166,-7.1175155,78.832493,Air,740.12,2020-05-21
77,Aliceblue Grow Cross-Platform E-Tailers,"Mayo, Moore and Hanson",-38.6254815,166.705885,-12.5325075,82.897214,Ship,463.86,2021-06-11
78,Blanchedalmond Harness Seamless Eyeballs,"Jackson, Harris and Melton",79.0794705,172.732673,89.163885,-166.705107,Truck,328.95,2020-11-09
79,Dimgray Optimize Value-Added Paradigms,Alvarez-Cruz,-52.0616945,-55.445697,-87.0246095,31.351144,Ship,998.43,2021-12-19
80,Ivory Re-Contextualize Cross-Media Communities,"Castro, Perry and Burns",-85.010637,105.593871,33.614229,-139.006673,Ship,613.21,2022-10-31
81,Lightseagreen Morph 24/7 Users,Vazquez Inc,88.4395645,-142.296914,-88.638567,160.303912,Truck,236.1,2022-06-06
82,Navy Mesh Killer E-Markets,"Peters, Mays and Casey",26.3804905,-176.013033,-2.967118,177.625173,Rail,251.76,2022-09-26
83,Lightsteelblue Cultivate One-To-One Info-Mediaries,Jackson Ltd,22.116313,-101.753248,74.7698695,175.031638,Air,463.75,2020-10-07
84,Fuchsia Transform Frictionless Initiatives,Alexander-Luna,4.2180325,-116.959871,-38.705207,-25.737488,Rail,253.78,2020-01-20
85,Green Facilitate Cross-Media Technologies,"Clements, Coleman and Martinez",-28.2849325,148.70941,66.271772,-134.258508,Ship,249.43,2021-10-13
86,Mistyrose Architect Magnetic Partnerships,Gardner Inc,-0.357447,5.112141,4.588953,33.28677,Rail,939.88,2023-08-14
87,Whitesmoke Mesh Innovative Applications,"Williams, Smith and Payne",-65.3526525,-146.549207,47.279003,-137.464743,Air,799.29,2021-12-11
88,Mediumturquoise Extend Revolutionary Models,"Gonzalez, Smith and Hardin",25.013784,140.499201,17.5120055,131.003615,Rail,950.56,2023-01-23
89,Deeppink Incentivize Impactful Info-Mediaries,Brooks LLC,39.814155,-107.350934,-46.1789375,73.702534,Ship,926.86,2020-10-20
90,Burlywood Benchmark Collaborative Communities,Harrison-Dixon,29.1768585,76.796634,72.6279075,78.05582,Ship,473.13,2021-01-29
91,Coral Grow Global Schemas,Lee-Bender,-60.297026,8.732699,-15.604709,-162.831023,Rail,800.43,2021-03-04
92,Darkgreen Transition Integrated Roi,"Lynn, Hudson and Shepherd",51.0012845,-175.517933,-82.9335655,28.67094,Truck,905.1,2022-11-01
93,Mediumturquoise Generate Plug-And-Play Channels,Davis-Smith,59.096287,103.611888,-77.511224,-161.577724,Air,764.28,2023-04-12
94,Darkorange Mesh Innovative E-Markets,Bowen-Larson,47.319948,152.69804,19.6820175,-25.390396,Rail,914.28,2022-04-28
95,Azure Cultivate Holistic Platforms,Young and Sons,85.5761815,-62.15159,-24.9316095,-30.687309,Ship,939.67,2020-09-16
96,Lavenderblush Expedite Bricks-And-Clicks Infrastructures,"White, Pruitt and Hall",14.538169,-75.455493,24.7066795,104.190153,Truck,787.86,2020-08-16
97,Orchid Unleash Synergistic Action-Items,"Sandoval, Luna and Perry",-47.5757375,122.214592,-37.803572,-93.070113,Ship,476.58,2023-09-23
98,Oldlace Visualize Value-Added Portals,"Salinas, Heath and Hunt",-78.695875,-176.344661,-15.1777375,-25.94371,Truck,313.33,2022-02-16
99,Seashell Drive E-Business Eyeballs,Marks-Dawson,-79.5586375,-122.88422,-53.8943145,-103.851832,Air,301.74,2022-06-20
100,Pink Productize Next-Generation Eyeballs,Bright Group,-23.283926,-114.730863,-37.6002835,-87.866191,Rail,474.17,2020-11-14
101,Snow Redefine Interactive Portals,Hernandez PLC,-57.821332,-133.13296,9.771793,-76.201544,Truck,656.25,2021-07-23
102,Crimson Redefine Transparent Channels,Jefferson-Gonzales,55.04435,-143.693076,-77.330546,97.836317,Truck,252.02,2020-05-15
103,Mediumseagreen Visualize Transparent Applications,Lopez-Lewis,-45.888861,116.188289,-12.15599,-81.17927,Rail,699.94,2023-08-18
104,Deeppink Productize Next-Generation Functionalities,Cruz LLC,44.764195,-9.623881,-58.075206,-128.869252,Air,651.85,2023-05-29
105,Fuchsia Evolve E-Business Relationships,Juarez-Lynch,-27.0951435,-136.555068,2.224483,118.638869,Truck,162.45,2020-08-27
106,Sandybrown Grow Intuitive Infrastructures,Li-Woods,22.835708,177.044768,81.971654,64.35979,Ship,739.25,2021-02-02
107,Darkviolet Mesh Vertical Bandwidth,Ross-Golden,-35.7405535,-17.844151,51.5249895,6.973128,Rail,297.31,2023-02-08
108,Mediumpurple Streamline Out-Of-The-Box Technologies,Robbins and Sons,79.3305855,64.75283,67.861202,-163.571737,Ship,268.36,2023-03-07
109,Tan Exploit Magnetic Infrastructures,Grimes Inc,69.9617475,-28.396276,-33.9585625,129.810968,Truck,981.59,2023-04-27
110,Chartreuse Revolutionize Cross-Platform Initiatives,"Jones, Mendoza and Martinez",64.0101955,71.3069,-55.2292885,-114.517099,Truck,590.35,2021-09-08
111,Darkred Re-Contextualize User-Centric Channels,"Alvarez, Rodriguez and Santana",86.84107,60.095511,-70.8896885,-21.800097,Truck,787.18,2021-09-15
112,Lightcoral Integrate Cross-Platform Convergence,Barber and Sons,-52.8903615,175.294217,14.6757295,103.807477,Rail,553.74,2023-08-07
113,Gainsboro Integrate Robust Web-Readiness,"Lindsey, Bruce and Roberts",76.8871665,78.950626,87.302279,-125.94815,Ship,349.0,2021-03-31
114,Deeppink Drive 24/365 Action-Items,Harris-Salazar,69.8087095,57.184878,-1.4404755,172.921007,Air,97.48,2020-12-01
115,Palegreen Monetize Dynamic Relationships,Russell-Greene,-23.5120975,175.619082,-70.174292,145.271662,Ship,391.77,2020-04-10
116,Lightcyan Enable Innovative E-Business,"Reed, Torres and Anderson",-72.424099,-83.825538,14.5174995,-50.927459,Air,362.44,2021-04-12
117,Mediumpurple Generate Bleeding-Edge Architectures,Hurst Ltd,64.2865615,134.729025,-42.870969,132.387769,Air,559.28,2020-10-17
118,Lavender Reinvent Plug-And-Play E-Tailers,Parks-Morse,-48.398552,110.08875,-37.095856,-83.178455,Air,114.21,2022-04-29
119,Moccasin Utilize Killer E-Commerce,Greene Ltd,-28.6707655,-162.51071,-56.714851,132.66375,Truck,316.64,2022-09-16
120,Mistyrose Mesh Sticky Synergies,Griffin-Sanford,67.630523,-148.62237,-80.302143,36.695949,Rail,477.16,2020-02-29
121,Darkorchid Aggregate Enterprise E-Business,Martinez-Gross,-36.915476,66.097893,-58.5437435,-45.866139,Truck,729.96,2022-07-30
122,Gold Re-Contextualize Compelling Portals,Paul-Bailey,-67.944873,121.079645,-19.9070235,42.853894,Air,477.98,2022-05-01
123,Forestgreen Utilize Collaborative Bandwidth,Stephens Group,-48.27841,161.641866,21.7472695,-51.34113,Air,558.66,2021-07-08
124,Palegoldenrod Productize Integrated Convergence,"Mills, Ryan and Anderson",-65.357864,-91.91551,-9.532936,65.738846,Ship,272.62,2023-06-08
125,Salmon Deliver Magnetic Platforms,"Schaefer, Williams and Mcclure",69.4423945,78.137605,-85.918111,131.389287,Rail,838.48,2020-01-06
126,Mediumslateblue Reinvent Integrated Partnerships,Lewis PLC,-25.3011715,-170.658871,10.4871855,24.196231,Rail,919.16,2020-04-14
127,Forestgreen Visualize Sticky Initiatives,"Brown, Molina and Graves",45.7051465,-176.601749,66.368354,-41.84826,Air,279.98,2020-06-06
128,Pink Orchestrate Cross-Platform E-Commerce,"Stanley, Stewart and Thompson",-36.41743,-11.0189,82.11421,-2.132619,Air,889.83,2020-01-03
129,Gold Matrix Transparent Markets,Underwood-Brown,-5.1301145,-165.728463,32.395808,10.717879,Ship,926.01,2023-03-02
130,Darkseagreen Engineer Killer Functionalities,"Peterson, Mann and Wright",44.3188,19.317768,-84.637569,83.459334,Rail,17.77,2020-04-25
131,Darkviolet Deliver 24/365 Roi,Herrera-Torres,19.693979,178.888588,7.601705,-72.402956,Rail,641.59,2022-04-14
132,Mediumorchid Facilitate End-To-End E-Tailers,"Reynolds, Griffin and Sanders",19.6431415,-39.902332,-41.3068135,-133.669202,Air,992.99,2022-07-16
133,Darkblue Synthesize Intuitive Models,Ward-Washington,11.426083,143.343794,88.665035,-165.138756,Air,740.48,2020-01-03
134,Lightyellow Re-Intermediate One-To-One Partnerships,Keller Ltd,11.835137,-45.729672,-23.728087,35.164765,Truck,213.47,2022-07-02
135,Green Mesh Distributed Models,Flores-Rosales,-49.770539,62.117457,66.3041785,-141.393585,Truck,253.89,2021-11-05
136,Mediumpurple Enhance Dynamic Niches,Thompson-Garza,68.387363,-7.000241,-44.381708,139.954168,Ship,382.31,2023-05-02
137,Mistyrose Re-Contextualize Ubiquitous Niches,Mendez-Summers,46.5527635,140.311637,14.2961975,139.999249,Air,355.77,2021-05-01
138,Gold Innovate Cutting-Edge Methodologies,Rodriguez-Lopez,-47.0028345,17.966744,17.8683715,33.694217,Rail,840.94,2023-08-01
139,Antiquewhite Drive Best-Of-Breed Communities,"Baird, Dunn and Morris",84.599191,127.958364,57.2180825,-5.018143,Rail,680.91,2020-05-16
140,Pink Harness Front-End Technologies,Vasquez and Sons,-24.17542,79.513641,-52.378284,177.215518,Air,402.6,2021-09-21
141,Skyblue Brand 24/365 Infrastructures,Gray-Hurst,-27.4496445,68.546818,-1.2474785,-16.552619,Air,779.5,2020-02-28
142,Lightslategray Brand Virtual Networks,Castro Ltd,74.703026,-96.754501,75.847293,105.605674,Truck,434.75,2020-10-02
143,Tan Redefine Killer Mindshare,"Rivera, Clarke and Padilla",-75.2500245,165.988097,13.1452255,-101.68898,Air,168.42,2023-05-22
144,Lightslategray Iterate Rich Schemas,Taylor and Sons,-50.281906,175.324193,61.0916705,-112.832054,Ship,43.84,2021-12-26
145,Chartreuse Syndicate Wireless Solutions,Simmons PLC,87.0604195,-21.089847,-8.722412,-164.115554,Ship,114.03,2020-11-18
146,Lightgoldenrodyellow Synergize Rich Communities,"Smith, Gregory and Charles",71.5678955,57.855191,24.7773395,40.292655,Rail,611.5,2022-11-28
147,Mediumblue Syndicate Turn-Key Deliverables,"Mason, Morgan and Hall",-53.3649465,-112.946322,71.995965,10.209463,Truck,770.44,2023-03-09
148,Ivory Whiteboard Cross-Platform Metrics,Snow-Jones,85.499291,32.125229,35.590575,152.512626,Truck,870.4,2023-05-29
149,Ghostwhite Strategize Next-Generation Platforms,"Washington, Stout and Walker",86.706159,-10.350156,-80.291354,-44.169745,Rail,269.65,2020-01-26
150,Indianred Brand 24/7 Models,Perez-Patel,14.4323245,-43.6802,58.4678175,40.170288,Air,445.46,2023-09-19
151,Saddlebrown Architect Revolutionary Portals,Fry-Chavez,19.859022,-163.843109,-35.1573755,134.884574,Air,280.71,2023-06-25
152,Papayawhip Repurpose Cutting-Edge Synergies,"Buchanan, Marshall and Miller",27.207647,61.317967,-54.551538,-10.307196,Ship,989.04,2023-04-07
153,Burlywood Iterate Plug-And-Play Initiatives,Juarez and Sons,-28.266174,124.069155,-78.784346,-55.44211,Truck,94.28,2023-03-30
154,Whitesmoke Exploit Front-End Schemas,Ballard-Simon,66.1177375,-116.247024,-26.875389,-48.62209,Ship,304.47,2021-02-01
155,Orchid Leverage Bricks-And-Clicks Synergies,Contreras and Sons,-40.089823,-61.179495,-23.694038,72.694399,Truck,597.39,2022-04-15
156,Mediumvioletred Synthesize Rich Interfaces,Potts-Rivera,-74.1795275,-59.367034,-84.340971,132.799138,Air,130.65,2020-10-24
157,Beige E-Enable Intuitive Technologies,Hoffman-Hamilton,50.968294,-55.308853,29.512178,68.508468,Truck,299.67,2022-06-28
158,Aliceblue Optimize Frictionless Mindshare,Casey and Sons,17.1780735,5.923201,41.136655,-99.15665,Rail,147.8,2021-12-13
159,Lightcoral Empower Enterprise Initiatives,Stewart-Baker,76.184938,-21.682782,43.788194,135.870921,Air,327.04,2022-04-12
160,Limegreen Extend Extensible Action-Items,"Bell, Juarez and Bryant",74.08551,-41.445656,49.800895,-148.843507,Rail,314.73,2023-08-20
161,Violet Leverage Proactive Schemas,Holmes-Stephenson,-11.4612795,-70.566418,-87.0473155,75.131116,Ship,500.43,2021-12-25
162,Slategray Leverage E-Business Niches,"Curtis, Navarro and Baird",-18.1766905,168.519903,35.4951365,57.854142,Truck,320.34,2023-08-31
163,Slategray Architect Compelling Vortals,Wright-Brown,80.406651,64.35784,-66.6931235,-41.918165,Truck,160.08,2021-12-04
164,Thistle Incentivize Seamless Architectures,Weeks and Sons,-33.622563,-4.722851,-10.3223115,-108.03524,Truck,22.12,2023-05-01
165,Mediumspringgreen Optimize Rich Mindshare,Smith Inc,52.4995805,-132.625109,28.3943305,-23.138625,Rail,183.84,2022-11-27
166,Tomato Re-Contextualize Plug-And-Play E-Commerce,Burton-Montes,-7.4524505,91.281612,-89.9557335,-5.927297,Air,742.61,2022-03-11
167,Darkslategray Deploy Cross-Media Initiatives,"Reed, Wells and Williams",48.8556455,-112.446189,28.7508395,73.595824,Truck,754.48,2020-04-11
168,Darkred Target B2C Applications,"Hernandez, Charles and Holland",-4.4394855,0.196618,-3.740369,-24.368246,Truck,231.75,2023-06-15
169,Cornsilk Implement Mission-Critical Content,Mccann PLC,-59.1769615,93.118748,-36.9258785,7.362596,Rail,376.71,2022-07-29
170,Yellowgreen Integrate Wireless E-Business,Brown PLC,-77.516225,127.531535,-57.1369815,-137.667559,Ship,967.16,2022-03-19
171,Darkslategray Transition Out-Of-The-Box Paradigms,Mcdaniel Inc,71.130904,-25.902212,49.075885,77.391361,Ship,355.47,2022-06-27
172,Gray Aggregate Cutting-Edge Roi,"Gardner, Kidd and Ray",78.0282985,91.21836,-2.1171465,151.717376,Ship,858.3,2022-01-03
173,Saddlebrown Transition Open-Source Supply-Chains,Hunt-Romero,6.9735515,-48.251465,60.865195,112.809651,Air,512.07,2022-03-21
174,Lightgray Visualize Sticky Technologies,Ford-Flores,-18.479317,-118.63217,2.9161665,-8.219288,Air,847.69,2020-03-15
175,Yellow Generate Strategic Functionalities,Richards-Mercer,70.9100625,151.183004,3.6532235,-148.141109,Truck,72.61,2022-01-19
176,Antiquewhite Scale Frictionless Schemas,"Peck, Lawson and Johnson",10.9404225,-36.001492,39.3096875,151.636239,Air,117.46,2021-11-02
177,Whitesmoke Morph Front-End Web-Readiness,"Campbell, Cole and Walker",-28.559389,-5.474123,88.6024555,-117.323075,Air,218.46,2023-07-21
178,Blue Re-Intermediate Bleeding-Edge Channels,"Figueroa, Schroeder and Johnson",-50.6131945,146.90496,-76.6585505,-43.391315,Air,194.53,2022-04-17
179,Papayawhip Target Seamless E-Tailers,House and Sons,74.8294015,168.657517,-22.93519,-153.87127,Truck,723.1,2023-08-16
180,Mediumspringgreen Embrace Interactive Experiences,"Taylor, Warren and Baker",82.9552145,63.933367,24.2648995,-45.430731,Rail,421.79,2020-09-20
181,Darkred Mesh Seamless E-Services,Ritter-Hill,43.875148,9.045366,21.0864215,-104.153587,Rail,174.74,2022-04-15
182,Ivory Redefine Virtual Initiatives,"Rodriguez, Munoz and Gordon",87.040799,126.379515,51.616161,-22.936186,Rail,284.75,2021-12-07
183,Mediumorchid Cultivate Integrated Channels,Byrd-Kennedy,-78.257423,-51.482491,35.314985,135.238769,Ship,609.27,2021-09-22
184,Oldlace Repurpose Magnetic Niches,"Kennedy, Smith and Mccarthy",-73.491699,-11.44218,84.9645715,41.090565,Rail,882.96,2021-04-26
185,Darkgoldenrod Maximize Turn-Key Web-Readiness,Gross Inc,-59.0756605,31.372732,-3.5306135,140.472351,Truck,470.86,2020-03-28
186,Orange Architect Robust Paradigms,"Brooks, Jackson and Murphy",-21.925924,138.219862,83.1668895,-102.726991,Truck,932.63,2021-08-17
187,Beige Maximize Wireless Web-Readiness,Todd-Williams,21.1430755,41.105094,89.922331,127.6255,Ship,961.56,2020-06-01
188,Dimgray Grow Rich Interfaces,Brown PLC,52.207886,-92.279075,-6.5092265,-104.252613,Ship,182.39,2021-03-11
189,Teal Disintermediate Real-Time Networks,Allen-Hernandez,23.988854,172.146008,-2.274418,-111.767875,Truck,911.02,2020-12-26
190,Black Deliver Global Applications,Richards-Wolfe,39.4638955,16.056703,39.42116,-128.396688,Rail,265.11,2023-09-27
191,Lawngreen Maximize Clicks-And-Mortar Architectures,Winters-Watkins,-1.831627,-35.237756,-4.887464,30.971953,Truck,695.35,2022-04-27
192,Peachpuff Monetize Magnetic Deliverables,"Luna, Banks and Buchanan",41.9061515,-91.6493,-21.630469,124.348772,Rail,212.67,2023-03-07
193,Limegreen E-Enable Strategic Paradigms,Davies-Black,-2.600517,95.864876,11.2877175,11.703265,Rail,73.92,2020-02-13
194,Burlywood Synergize Extensible Paradigms,"Parker, Mann and Chandler",54.4480385,-135.231129,-75.3318355,43.023279,Truck,40.62,2020-01-22
195,Greenyellow Transition Collaborative Relationships,Peterson Ltd,-81.194853,137.314936,4.6164845,107.233468,Rail,983.88,2021-01-19
196,Red Integrate Integrated E-Tailers,"Combs, Matthews and Johnson",-6.2759225,-152.202646,-39.512204,12.231819,Air,368.89,2023-02-28
197,Sienna Architect Bricks-And-Clicks Metrics,Gibson-Kim,-16.55444,-74.877186,0.013151,158.845111,Truck,205.17,2022-06-18
