project_id,project_name,latitude,longitude,project_type,start_date,end_date,budget_($),emission_(co2e),emission_source
59,Herman Group,-30.810942,117.007306,Railway,2021-12-26,2024-05-10,2900490.23,59.48,Machinery
60,Hood Group,-13.729149,52.704615,Tunnel,2022-05-14,2024-10-20,5678337.08,913.48,Transportation
61,Bailey Ltd,-7.242266,83.799414,Airport,2021-11-08,2024-02-16,9573578.78,122.9,Material Manufacturing
62,Simpson-Taylor,0.549981,-46.650643,Road,2022-02-20,2023-02-22,8370291.71,438.91,Transportation
63,Sullivan LLC,5.720819,-171.24564,Bridge,2020-11-16,2022-12-19,8587726.79,628.39,Transportation
64,Bishop PLC,32.7264265,58.077878,Tunnel,2023-02-07,2024-09-12,3900741.6,72.29,Transportation
65,Cline Ltd,2.151523,-158.337716,Railway,2022-11-04,2023-10-20,521526.53,92.42,Transportation
66,Willis LLC,-82.970516,115.548034,Dam,2021-03-06,2023-09-03,8851617.02,765.63,Machinery
67,"Palmer, Bell and Brown",17.2967095,-59.558885,Dam,2021-07-23,2023-06-12,822915.3,753.27,Transportation
68,Johnson Ltd,-79.76659,-144.384091,Road,2022-12-05,2023-03-29,2154842.58,750.5,Transportation
69,Nelson-Riley,41.666266,-17.030526,Industry,2020-12-09,2022-03-31,3662045.77,675.4,Material Manufacturing
70,Potter-Murphy,63.4907985,-96.570396,Dam,2021-08-08,2021-11-09,1976648.2,62.49,Machinery
71,Arias-Russell,68.5117815,-94.232144,Port,2023-04-21,2025-03-18,6288481.46,186.96,Transportation
72,Middleton Ltd,-75.9985855,-42.307132,Bridge,2022-12-01,2025-09-21,2562373.77,420.85,Machinery
73,Holland-Rodriguez,25.1778375,-94.351297,Dam,2022-06-26,2024-01-28,4704338.0,296.75,Transportation
74,Duran Ltd,-37.4279955,78.142328,Railway,2020-04-21,2022-01-29,7053727.63,911.37,Transportation
75,"Walton, Evans and Swanson",-52.4295895,17.244854,Port,2022-06-21,2023-01-17,444562.54,83.6,Transportation
76,"Williams, Johnson and Gonzalez",32.9022935,179.854207,Tunnel,2021-09-17,2023-11-03,1085217.52,394.29,Machinery
77,Padilla Group,-40.877814,84.480899,Railway,2021-11-28,2023-07-19,9768535.32,955.18,Machinery
78,Leonard-Barber,81.9029565,70.397651,Bridge,2023-02-02,2025-03-13,8927285.08,284.52,Transportation
79,Green Ltd,-58.517515,-93.699695,Airport,2020-12-12,2021-09-14,5123760.64,158.22,Transportation
80,"Jackson, Stone and Hanna",42.2045825,19.880685,Road,2021-08-20,2021-10-21,904725.46,142.72,Material Manufacturing
81,Hahn PLC,71.9407265,42.326371,Port,2020-08-03,2023-05-14,9871261.5,772.57,Material Manufacturing
82,Mendoza Group,39.901845,5.066907,Airport,2023-08-09,2024-05-03,2919240.4,826.63,Transportation
83,"Rowe, Gibson and Cuevas",38.1230235,-119.571527,Industry,2022-12-16,2024-12-23,6396623.9,786.21,Transportation
84,Burke Group,65.3280195,4.31644,Housing,2022-02-17,2023-07-14,7684608.81,832.05,Transportation
85,King-Roberts,-56.693126,56.907765,Housing,2022-07-24,2022-11-25,602678.02,37.38,Transportation
86,Roman Group,25.7369165,-12.07687,Bridge,2021-07-13,2023-01-18,9122703.15,827.1,Material Manufacturing
87,Sullivan-Lamb,-46.7605845,1.995669,Tunnel,2023-08-11,2025-10-22,4589386.08,611.02,Material Manufacturing
88,Bowers PLC,67.5961465,-111.062927,Railway,2023-01-21,2024-11-24,9500250.27,78.23,Transportation
89,Johnston Group,12.3234635,-51.511306,Tunnel,2022-05-30,2024-04-30,9231527.21,826.79,Machinery
90,Herrera-Serrano,-52.996693,-168.344718,Airport,2022-12-13,2025-02-09,9527843.8,639.97,Machinery
91,Miller-Young,8.9833575,-156.696907,Port,2020-03-29,2021-06-02,4858415.19,817.75,Material Manufacturing
92,May-Blake,-60.9906285,-9.013069,Tunnel,2022-07-31,2024-03-23,3411490.97,640.37,Material Manufacturing
93,Morales-Newton,83.3628395,91.747306,Road,2021-12-02,2024-07-10,4222002.1,975.55,Machinery
94,"Lopez, Smith and Johnson",-27.627537,59.022685,Port,2023-08-18,2026-04-07,445769.86,927.75,Machinery
95,Jones-Small,1.092582,-168.683303,Airport,2022-08-03,2024-01-25,2657207.2,27.38,Machinery
96,Perez-Lee,-73.3871645,-136.391008,Bridge,2023-07-30,2024-03-11,7039627.23,332.11,Material Manufacturing
97,White-Jones,19.1204605,50.089633,Airport,2020-08-14,2021-09-20,104871.15,988.48,Material Manufacturing
98,Horn and Sons,-12.2786785,-114.510058,Tunnel,2020-08-19,2022-07-26,6947916.1,353.85,Machinery
99,Allen-Pena,-67.5557815,-144.962313,Tunnel,2023-05-24,2023-10-18,6870814.22,533.47,Material Manufacturing
100,Mcdonald-Moore,17.4995585,-153.938935,Tunnel,2020-02-29,2020-10-16,4332992.0,240.3,Machinery
101,Hudson-Jones,86.3508175,-122.972554,Dam,2020-08-07,2022-11-06,1281952.79,30.73,Machinery
102,Burns-Davis,11.2032575,-117.644441,Road,2021-07-27,2024-04-11,1851938.99,917.91,Transportation
103,"Clark, Harris and Gray",-8.5679925,33.463708,Housing,2020-01-04,2020-01-09,4378733.65,867.08,Material Manufacturing
104,Jones Ltd,9.7294695,139.911475,Bridge,2023-01-18,2024-04-27,5589028.19,957.32,Transportation
105,Flowers-Pratt,-36.021728,-73.357327,Tunnel,2020-05-15,2021-01-03,1839136.36,619.53,Machinery
106,"Allen, Stevenson and Oliver",14.1684575,170.197653,Housing,2022-08-12,2023-07-01,3509032.89,867.99,Transportation
107,"Cohen, Morales and Jones",-19.225279,130.622126,Airport,2023-09-19,2024-11-15,8160760.75,813.62,Material Manufacturing
108,Mcdonald and Sons,-51.640886,46.456304,Housing,2023-04-22,2024-07-15,4836831.43,701.57,Machinery
109,"Dominguez, Baker and Cordova",-61.378837,-77.317678,Tunnel,2021-12-17,2024-03-17,6807701.09,561.07,Machinery
110,Williams-Hill,68.580458,174.623325,Railway,2021-08-18,2021-11-20,844012.19,149.9,Transportation
111,"Kirby, Wright and Castillo",72.306214,47.849931,Port,2022-11-30,2023-09-24,2082280.17,289.84,Machinery
112,"Gutierrez, Gregory and Lee",3.5818075,-31.299356,Housing,2023-03-30,2024-12-15,6755432.98,721.54,Material Manufacturing
113,Alvarado-Harris,-81.4539205,67.650137,Industry,2020-10-24,2022-07-02,5607309.45,574.86,Material Manufacturing
114,Hernandez LLC,-55.478023,-178.206476,Industry,2023-03-17,2025-10-07,1535484.41,537.56,Material Manufacturing
115,"Rivera, Harrell and Jacobs",-85.668431,12.296094,Airport,2020-08-22,2020-11-02,7141626.9,791.01,Machinery
116,Walker-Mitchell,-32.304816,16.806727,Port,2023-05-24,2025-09-30,5703523.78,158.34,Transportation
117,Ellison Group,10.268528,-69.416683,Tunnel,2023-09-26,2026-03-21,2823158.97,267.99,Transportation
118,Wheeler Ltd,-77.6265225,-26.513169,Bridge,2020-02-19,2020-12-06,723545.91,949.26,Machinery
119,Moore Inc,40.9578775,-171.799773,Port,2021-11-11,2024-07-03,4543592.33,717.08,Material Manufacturing
120,Delgado-Burke,-42.914781,-159.67676,Road,2023-05-14,2023-10-18,6629786.64,814.83,Transportation
121,"Armstrong, Lee and Rodriguez",-81.367293,-173.211708,Bridge,2021-10-18,2023-04-25,7608291.24,333.08,Machinery
122,Martinez-Anderson,49.539347,3.127657,Housing,2023-01-14,2024-01-27,9269905.91,579.66,Machinery
123,Carpenter PLC,-45.249247,-173.025997,Tunnel,2020-11-11,2022-11-11,3578700.58,567.89,Material Manufacturing
124,"Smith, Bates and Cruz",76.647594,-53.899096,Railway,2023-01-19,2023-03-19,6747969.4,180.32,Material Manufacturing
125,Campbell-Delgado,79.7686325,47.514627,Bridge,2022-02-15,2024-02-11,843396.7,687.72,Material Manufacturing
126,"Booker, Alvarez and Hicks",56.6634975,-69.365786,Housing,2022-01-22,2024-04-13,1278839.8,111.97,Transportation
127,Griffith-Nelson,-30.229452,131.255809,Airport,2022-07-02,2024-07-12,2118989.18,399.28,Transportation
128,Robinson and Sons,47.22691,-151.212187,Industry,2020-08-15,2022-06-17,3481925.48,414.46,Material Manufacturing
129,"Garcia, Vasquez and Turner",-67.619401,-21.910835,Tunnel,2022-04-08,2022-12-09,1783314.46,208.87,Transportation
130,"Hawkins, Flores and Harvey",18.46513,-78.630067,Dam,2022-08-07,2023-02-20,4906874.85,63.22,Transportation
131,Hughes Inc,-19.6353935,91.068232,Housing,2021-08-26,2022-07-18,5668294.22,714.8,Material Manufacturing
132,"Hall, Hernandez and Page",49.5963635,-26.664857,Airport,2021-07-15,2023-09-05,8224363.86,861.54,Material Manufacturing
133,Parker Ltd,42.678775,-102.641515,Housing,2020-12-13,2021-09-07,2659581.27,961.69,Transportation
134,Young-Morales,39.7419805,131.952517,Housing,2021-03-13,2023-04-25,3197986.67,743.78,Transportation
135,White-Thomas,-65.129615,76.635361,Port,2022-10-14,2023-02-14,7090094.68,786.87,Transportation
136,Beltran-Jones,11.342991,58.63571,Railway,2022-07-26,2023-07-07,741968.86,310.7,Machinery
137,Davis-Young,-66.752104,-57.019584,Housing,2020-02-25,2021-11-05,3268668.84,981.91,Material Manufacturing
138,Sims-Miller,-23.3025385,-147.998502,Dam,2020-01-06,2022-09-08,3487185.71,271.71,Transportation
139,Stone Ltd,-34.2341395,-103.776746,Industry,2022-01-30,2025-01-19,5300273.73,989.3,Transportation
140,Graves Group,15.477474,-41.865814,Industry,2022-02-25,2024-02-11,237227.08,344.13,Transportation
141,Christensen and Sons,-61.3157965,151.180611,Road,2020-11-04,2020-12-31,1954059.36,564.39,Machinery
142,"Gordon, Smith and Navarro",68.7403955,89.470889,Tunnel,2023-03-04,2024-11-24,1780083.51,84.4,Machinery
143,"Kelley, Cox and Alvarado",62.3488565,85.642415,Railway,2023-01-21,2025-09-23,478795.05,279.86,Material Manufacturing
144,Gardner-Jackson,38.8569795,87.734867,Tunnel,2020-11-03,2022-12-06,7718547.3,37.69,Machinery
145,Fox-Pittman,-49.191053,175.82009,Dam,2023-04-29,2026-04-11,694408.07,247.06,Machinery
146,"Pruitt, Barajas and Chaney",2.302319,42.901439,Airport,2020-02-13,2022-12-08,4534869.34,230.73,Material Manufacturing
147,"Stewart, Knox and Joyce",71.4801585,-48.961038,Tunnel,2021-09-18,2022-10-18,6544357.29,762.03,Material Manufacturing
148,"Parks, Marshall and Martin",56.1497895,155.546821,Tunnel,2022-08-04,2025-03-30,3563902.3,957.15,Material Manufacturing
149,Patel-Pitts,68.9148955,-5.605541,Airport,2023-05-11,2024-01-06,934513.77,252.76,Transportation
150,"Kelly, Hatfield and Johnson",-57.8932225,-99.03367,Housing,2021-02-10,2022-01-21,8218721.31,29.27,Transportation
151,Harrison-Stein,-78.521792,7.188066,Industry,2022-11-16,2023-02-26,3908464.56,102.64,Machinery
152,Simmons Ltd,85.675782,-129.759527,Housing,2021-01-18,2023-08-07,6136243.1,659.74,Transportation
153,"Moore, Mccoy and Robinson",-45.8059105,-64.5412,Airport,2021-02-14,2021-03-20,5762139.73,687.7,Material Manufacturing
154,Shaw-Morgan,-36.709772,-178.412257,Airport,2020-07-11,2022-05-02,5724736.74,531.97,Material Manufacturing
155,Campbell-Mccarthy,80.813521,-20.578179,Bridge,2020-03-04,2021-01-16,1755900.51,204.21,Machinery
156,Khan LLC,-35.8813375,-63.173947,Railway,2022-08-30,2024-09-16,2853351.18,551.64,Material Manufacturing
157,"Young, Hart and Hall",-37.9260955,106.339631,Bridge,2020-10-31,2022-03-11,3363015.91,777.58,Material Manufacturing
158,Anderson Inc,65.7197345,-60.108486,Industry,2022-06-28,2024-04-16,1828730.97,802.6,Material Manufacturing
159,Diaz Ltd,16.3035155,-157.180046,Housing,2022-07-18,2024-12-25,7987939.74,262.64,Machinery
160,"Acosta, Jennings and Carey",-66.355554,-129.025676,Dam,2021-03-04,2022-12-15,2462262.4,256.83,Material Manufacturing
161,"Bennett, Nelson and Fisher",48.515905,87.045762,Road,2022-08-17,2025-06-02,5350153.72,765.56,Transportation
162,Brown Inc,41.2334105,-73.511041,Port,2021-01-27,2021-03-18,8242238.95,998.66,Transportation
163,"Hernandez, Moore and Allen",-37.471194,-5.287088,Railway,2022-03-20,2024-07-19,9494759.03,457.67,Material Manufacturing
164,"Dunlap, Marshall and Clark",27.235987,2.788386,Railway,2022-01-18,2023-10-18,1404986.01,388.83,Transportation
165,Berg Inc,5.55529,91.178401,Housing,2020-06-27,2023-06-08,7388082.0,334.93,Transportation
166,Romero LLC,-65.279027,167.893626,Industry,2020-08-25,2022-04-14,6946256.18,835.14,Machinery
167,"Castillo, Dickerson and Andrews",-50.36802,-88.463162,Airport,2021-06-30,2023-04-04,4352039.69,681.0,Material Manufacturing
168,"Curtis, Marshall and Allen",26.009374,-38.216852,Road,2021-06-23,2022-12-21,2558378.98,299.67,Machinery
169,Shaffer Inc,-56.193228,-19.478294,Port,2020-07-22,2023-05-18,2884110.76,154.89,Material Manufacturing
170,Walters-Ford,-38.10111,-112.469546,Bridge,2021-12-25,2022-10-01,7519021.8,76.74,Transportation
171,"Black, Brooks and Mendoza",-31.872285,97.183806,Tunnel,2021-06-10,2022-04-05,1317644.07,723.4,Machinery
172,Long LLC,-16.088424,49.661653,Road,2020-03-11,2021-07-23,5230433.17,716.96,Material Manufacturing
173,Waller LLC,76.1421275,-50.096654,Port,2022-03-21,2024-07-13,9385604.43,128.96,Material Manufacturing
174,Mitchell-Ibarra,-87.071401,142.310998,Tunnel,2023-02-25,2023-11-19,5577540.27,433.54,Machinery
175,"Castillo, Nelson and Berry",31.828787,87.155236,Housing,2023-02-08,2024-03-10,9775000.14,446.55,Transportation
176,Mueller-Miller,-17.119474,-58.902748,Road,2020-01-04,2022-11-25,8935044.36,391.56,Machinery
177,"Underwood, Miller and Smith",-41.950735,-82.420448,Tunnel,2022-05-19,2022-07-28,924389.21,777.88,Material Manufacturing
178,"Tanner, Finley and Patton",-17.9887835,-148.373079,Tunnel,2020-09-11,2021-07-29,9908021.71,13.37,Transportation
179,Henderson Ltd,88.180394,94.93951,Bridge,2023-02-03,2024-04-23,385951.74,201.7,Transportation
180,"Brock, Willis and Price",-27.950036,88.374146,Railway,2020-05-26,2021-08-10,2564484.94,372.76,Material Manufacturing
181,"Carlson, Huang and Stark",60.7393615,-24.803256,Dam,2022-01-01,2022-06-28,5686369.26,769.12,Transportation
182,Stevens-Conner,-22.4050255,-10.055377,Bridge,2022-05-25,2025-02-28,8780805.63,257.47,Material Manufacturing
183,"Woods, Morris and Williams",17.9521105,-91.930104,Housing,2021-10-05,2023-11-05,6169996.68,611.92,Machinery
184,Garza and Sons,-41.2731075,178.5524,Tunnel,2023-01-19,2025-06-19,1078743.35,513.28,Material Manufacturing
185,"Banks, Wang and Mercer",-14.397923,-174.919043,Railway,2023-08-24,2023-10-02,1814854.08,199.77,Machinery
186,"Schultz, Scott and Nicholson",14.340751,3.701064,Dam,2021-01-27,2022-09-17,4944580.66,419.77,Material Manufacturing
187,Smith-Archer,-57.6321755,-97.336469,Port,2021-07-08,2021-07-13,5105712.12,918.12,Machinery
188,Gonzales-Green,-2.320631,-120.243692,Road,2021-12-31,2024-06-20,8764733.1,108.98,Machinery
189,Farley Group,49.909585,-117.97872,Tunnel,2021-09-14,2021-12-29,603709.6,942.69,Transportation
190,Moody-Saunders,-12.211659,-102.891038,Industry,2021-06-18,2023-11-21,4779201.12,762.93,Material Manufacturing
191,"Scott, Robinson and Brown",29.7515085,-91.307417,Port,2021-11-27,2023-03-17,7644915.32,46.25,Material Manufacturing
192,Young Inc,55.126818,6.790943,Bridge,2022-02-23,2024-10-24,9851668.9,51.74,Material Manufacturing
193,Downs PLC,82.186809,103.551411,Dam,2020-05-14,2021-07-30,5658621.68,255.41,Machinery
194,"Mitchell, Perez and Jones",42.8561615,62.562325,Road,2021-05-28,2024-04-18,4466438.22,396.7,Material Manufacturing
195,"Pitts, Alvarez and Warren",42.5043905,-136.667274,Railway,2022-12-08,2025-11-13,9175781.75,293.57,Material Manufacturing
196,"Shields, Lopez and Zamora",67.7282135,-35.339889,Port,2023-04-05,2025-08-04,3590329.7,340.79,Transportation
197,Evans PLC,-72.815014,-6.803564,Airport,2021-12-03,2024-05-14,3598788.27,524.16,Machinery
198,"Clements, Jordan and West",75.3219205,-146.610532,Bridge,2021-03-26,2023-08-23,191816.05,458.57,Transportation
199,"Wilson, Reid and Barnes",31.31657,149.209169,Airport,2020-08-17,2022-06-10,7433333.3,185.57,Machinery
200,Schneider LLC,-50.5550545,-116.650456,Road,2021-11-30,2023-09-28,1790453.69,251.51,Machinery
201,Cook PLC,-75.74257,173.567918,Housing,2020-05-09,2020-12-01,6409508.83,664.84,Transportation
202,"Barnes, Bennett and Norman",-89.3733485,-133.784889,Road,2022-01-02,2022-03-30,8871685.1,330.04,Material Manufacturing
203,"Alvarez, Wade and Salazar",62.2104315,81.014255,Bridge,2023-03-13,2025-03-25,2500328.02,735.38,Material Manufacturing
204,"Herrera, Bird and White",69.6883495,-16.697501,Bridge,2020-06-03,2022-05-01,5836843.38,341.44,Machinery
205,Martinez Inc,-29.3711275,-14.998925,Tunnel,2021-06-03,2023-02-05,8247596.0,171.52,Material Manufacturing
206,Bennett Inc,-64.7433985,98.95482,Housing,2021-12-29,2022-06-24,3244077.12,698.06,Transportation
207,"Montgomery, Hernandez and Castillo",3.706542,179.495192,Bridge,2020-06-11,2021-07-15,2026823.82,636.26,Material Manufacturing
208,Johnson-Watkins,3.7186465,73.519284,Industry,2023-01-20,2024-12-02,8836306.3,941.58,Material Manufacturing
209,Spencer Inc,-1.9604145,172.118017,Port,2021-07-16,2023-09-20,596412.96,183.53,Material Manufacturing
210,"Flores, Snyder and Tyler",-56.5848055,-93.07081,Railway,2021-08-18,2023-02-12,2444341.87,621.48,Machinery
211,Pace and Sons,-57.5013005,-153.687039,Airport,2023-08-10,2025-08-10,5830808.2,796.65,Material Manufacturing
212,Larson Group,-34.9827335,-44.790862,Industry,2020-04-25,2021-03-04,2641343.57,608.51,Transportation
213,"Peters, Williams and Morton",-63.593685,-53.926743,Tunnel,2022-01-29,2024-11-14,1395169.54,323.13,Material Manufacturing
214,Clark PLC,10.1088695,-174.219333,Tunnel,2022-05-24,2022-11-10,2558957.24,442.0,Machinery
215,Robinson Group,7.929271,87.259959,Industry,2021-08-19,2021-09-22,8537778.05,387.79,Material Manufacturing
216,"Lopez, Martin and Miller",63.0056705,178.330328,Tunnel,2021-05-25,2022-03-22,8097739.45,737.91,Material Manufacturing
217,Warner-Griffin,-40.920504,-165.422472,Bridge,2023-04-22,2025-11-11,1328450.41,322.09,Transportation
218,Braun LLC,47.9203915,167.812333,Tunnel,2023-06-03,2025-09-20,917810.39,426.1,Machinery
219,"Moore, Moore and Ramsey",-40.712827,-98.039063,Dam,2023-06-25,2024-05-17,542065.02,462.81,Machinery
220,"Rich, Lindsey and Smith",-66.199718,-3.005411,Industry,2020-09-26,2023-07-08,2178186.69,843.01,Machinery
221,Callahan-Brady,-54.8613945,-173.856658,Port,2022-03-08,2024-12-11,2881473.36,315.86,Material Manufacturing
222,"Wade, Berry and Sandoval",9.9196925,21.549651,Airport,2022-06-17,2025-02-14,403239.59,990.02,Machinery
223,Madden-Schwartz,-45.0207085,-102.916051,Bridge,2022-01-04,2024-09-16,9154686.31,75.44,Transportation
224,Hudson and Sons,-17.5947045,167.350672,Airport,2023-05-15,2023-11-15,4139640.57,459.54,Machinery
225,"Stark, Spears and Miller",-38.1300325,-141.665353,Airport,2020-08-27,2022-06-20,7004666.18,333.67,Machinery
226,Walker-Shepherd,-84.3048005,152.166984,Port,2020-10-03,2021-07-18,7035661.38,86.36,Material Manufacturing
227,Bennett PLC,-73.249798,101.100812,Bridge,2022-01-21,2023-11-26,851097.29,130.87,Machinery
228,"Dunn, Anderson and Johnson",-16.171034,152.481799,Railway,2023-07-14,2025-02-23,6985419.74,508.02,Material Manufacturing
229,Robles-Davidson,-26.045343,-79.685996,Industry,2020-06-08,2021-07-27,6310454.62,115.01,Transportation
230,"Edwards, Vazquez and Ware",75.465995,73.868492,Industry,2021-08-16,2024-02-28,3269680.54,35.87,Transportation
231,Ewing-Parks,4.2569485,138.897017,Tunnel,2020-07-02,2020-12-21,2756037.84,768.51,Machinery
232,"Cantrell, Myers and Fuller",85.4598085,-8.365838,Dam,2021-11-17,2022-02-01,7809832.99,162.25,Material Manufacturing
233,Evans Inc,-30.850138,70.538429,Industry,2022-09-14,2025-07-15,6312123.35,590.07,Machinery
234,Baker-Robertson,-77.5389495,-147.59101,Tunnel,2021-06-15,2021-07-06,8862846.83,594.98,Material Manufacturing
235,Harrison-Wood,86.6066145,-132.534596,Port,2021-10-31,2022-12-28,7703257.12,369.94,Machinery
236,"Harris, Dawson and Smith",43.3696585,48.639614,Airport,2022-04-05,2025-02-14,1179544.62,768.83,Machinery
